msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Wheeling, WV-OH Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Moundsville",Close,-16,0,0,0,-16,0,0,-16,-5,-21,80664,0.0%
"Wichita Falls, TX Metropolitan Statistical Area","Sheppard Air Force Base",Realign,-2519,-158,51,2,-2468,-156,0,-2624,-1744,-4368,93033,-4.7%
"Wichita, KS Metropolitan Statistical Area","McConnell Air Force Base",Gain,-27,-183,704,28,677,-155,0,522,308,830,364878,0.2%
"Wichita, KS Metropolitan Statistical Area","U.S. Army Reserve Center Wichita",Realign,-22,-56,0,0,-22,-56,0,-78,-76,-154,364878,0.0%
"Williamsport, PA Metropolitan Statistical Area","U.S. Army Reserve Center Williamsport",Close,-25,-4,0,0,-25,-4,0,-29,-16,-45,67466,-0.1%
"Wilmington, DE-MD-NJ Metropolitan Division","Kirkwood U.S. Army Reserve Center, Newark",Close,-7,-2,0,0,-7,-2,0,-9,-4,-13,405766,0.0%
"Wilmington, DE-MD-NJ Metropolitan Division","New Castle County Airport Air Guard Station",Realign,-47,-101,0,0,-47,-101,0,-148,-101,-249,405766,-0.1%
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area","Youngstown-Warren Regional Airport",Gain,0,0,0,8,0,8,0,8,7,15,307480,0.0%
"Yuba City, CA Metropolitan Statistical Area","Beale Air Force Base",Realign,-8,-171,0,0,-8,-171,0,-179,-132,-311,68256,-0.5%
"Yuma, AZ Metropolitan Statistical Area","Marine Corps Air Station Yuma",Gain,0,0,0,5,0,5,0,5,4,9,76606,0.0%
